0 40
10 3
20 4683
30 8015
40 3108
50 6792
60 4586
70 4703
80 6936
90 3556
100 8516
110 9351
120 6753
130 8224
140 11553
150 13957
160 25934
170 25559
180 21450
190 12112
200 19954
210 26415
220 14767
230 15938
240 32223
250 15708
260 17452
270 25980
280 29259
290 35795
300 30570
310 26132
320 37266
330 26333
340 31685
350 32968
360 18917
370 30213
380 23438
390 29307
400 29845
410 33477
420 31099
430 33544
440 41439
450 37889
460 33298
470 30408
480 38784
490 42720
500 52441
510 39828
520 42460
530 34500
540 50447
550 50364
560 51309
570 43975
580 37202
590 58922
600 39409
610 40903
620 44485
630 64804
640 58195
650 60963
660 51116
670 48905
680 65373
690 55573
700 57834
710 54363
720 56975
730 63159
740 59057
750 69471
760 61777
770 50763
780 49783
790 76875
800 59734
810 68602
820 58415
830 67889
840 68636
850 63101
860 52766
870 52740
880 79547
890 63109
900 65596
910 68937
920 66496
930 52024
940 71119
950 91435
960 78919
970 86564
980 76593
990 73682
1000 94257
1010 91762
1020 98719
1030 57734
1040 74742
1050 109985
1060 65032
1070 104560
1080 108810
1090 85469
1100 88770
1110 81567
1120 101487
1130 91431
1140 81303
1150 120866
1160 84984
1170 106291
1180 105961
1190 104053
1200 92497
1210 90021
1220 108731
1230 95377
1240 108526
1250 114959
1260 107398
1270 112984
1280 116539
1290 102426
1300 92138
1310 122127
1320 111106
1330 103402
1340 99667
1350 80559
1360 105348
1370 108095
1380 114599
1390 98932
1400 119507
1410 108243
1420 110821
1430 104171
1440 98271
1450 133839
1460 113753
1470 134741
1480 121432
1490 112794
1500 117223
1510 109148
1520 115221
1530 112228
1540 145029
1550 106800
1560 145362
1570 135670
1580 127905
1590 140293
1600 125911
1610 146489
1620 138288
1630 103298
1640 120316
1650 126918
1660 125626
1670 136500
1680 140926
1690 144894
1700 121800
1710 140657
1720 164344
1730 118568
1740 159594
1750 166239
1760 167346
1770 134410
1780 154640
1790 149883
1800 144197
1810 150503
1820 144598
1830 150777
1840 127384
1850 154593
1860 154963
1870 158851
1880 157646
1890 147438
1900 169724
1910 146688
1920 152331
1930 169086
1940 162429
1950 152018
1960 170047
1970 172788
1980 163924
1990 137151
2000 145151
2010 170710
2020 171250
2030 182250
2040 180562
2050 207394
2060 161332
2070 151819
2080 155311
2090 164099
2100 173052
2110 177584
2120 164205
2130 193644
2140 152813
2150 191769
2160 164986
2170 181704
2180 176289
2190 155873
2200 171278
2210 159721
2220 180343
2230 188893
2240 186498
2250 164371
2260 187653
2270 188189
2280 217719
2290 187066
2300 208326
2310 200144
2320 172823
2330 202279
2340 187628
2350 202759
2360 188689
2370 205455
2380 211435
2390 221124
2400 206371
2410 212642
2420 227615
2430 183368
2440 207742
2450 185059
2460 189842
2470 200233
2480 212094
2490 251748
2500 183505
2510 233575
2520 204284
2530 225607
2540 207484
2550 228097
2560 184646
2570 208131
2580 239121
2590 228919
2600 223088
2610 189048
2620 206900
2630 200872
2640 224606
2650 216449
2660 191152
2670 244322
2680 212396
2690 214555
2700 228802
2710 252861
2720 224409
2730 219050
2740 223369
2750 221585
2760 217125
2770 184231
2780 212393
2790 220803
2800 221001
2810 231005
2820 249049
2830 199140
2840 196120
2850 226530
2860 238552
2870 225469
2880 267607
2890 211676
2900 240266
2910 256487
2920 229087
2930 224067
2940 224725
2950 231815
2960 235510
2970 252242
2980 256391
2990 224499
