0 31203
10 17313
20 7299
30 4803
40 2244
50 4316
60 8968
70 5336
80 4315
90 2433
100 3763
110 6717
120 4149
130 4395
140 3585
150 5231
160 7515
170 7481
180 5488
190 4535
200 11336
210 13002
220 8155
230 4931
240 10078
250 5179
260 5113
270 9772
280 15514
290 12015
300 9753
310 10308
320 11486
330 12464
340 11345
350 11330
360 6973
370 14656
380 9683
390 10700
400 13777
410 13664
420 8712
430 9490
440 16208
450 17553
460 11724
470 10219
480 11704
490 15031
500 21501
510 19794
520 12379
530 10663
540 23244
550 14565
560 16737
570 12865
580 18029
590 19686
600 13351
610 13294
620 20518
630 20146
640 17002
650 25802
660 20005
670 17204
680 17797
690 13462
700 18977
710 18977
720 21588
730 16794
740 22110
750 18619
760 17225
770 17781
780 14663
790 22210
800 17075
810 18784
820 20713
830 23564
840 21161
850 18908
860 15258
870 13877
880 21842
890 26507
900 18947
910 19977
920 19679
930 14503
940 21928
950 25053
960 24937
970 26330
980 24710
990 18626
1000 34754
1010 26652
1020 26811
1030 21043
1040 21830
1050 29664
1060 24712
1070 26215
1080 35880
1090 23554
1100 26236
1110 31202
1120 27519
1130 26188
1140 27731
1150 31107
1160 27174
1170 29008
1180 32297
1190 26024
1200 30760
1210 26585
1220 30238
1230 28133
1240 28404
1250 31835
1260 30128
1270 34768
1280 38778
1290 28372
1300 26691
1310 34004
1320 38155
1330 27009
1340 30370
1350 26715
1360 33679
1370 28039
1380 29301
1390 30826
1400 32729
1410 33607
1420 32764
1430 27864
1440 29394
1450 40560
1460 34118
1470 36885
1480 31857
1490 28500
1500 37032
1510 28957
1520 30468
1530 31649
1540 39422
1550 29628
1560 40326
1570 39007
1580 40381
1590 51158
1600 41739
1610 42182
1620 37709
1630 41878
1640 39512
1650 40984
1660 36364
1670 31761
1680 45681
1690 38583
1700 29775
1710 41462
1720 40765
1730 31563
1740 40388
1750 42869
1760 39603
1770 36947
1780 46826
1790 36055
1800 43286
1810 38297
1820 41652
1830 36158
1840 38024
1850 45587
1860 49820
1870 79762
1880 57232
1890 55096
1900 60358
1910 37641
1920 42148
1930 49398
1940 52178
1950 46471
1960 51382
1970 54485
1980 51100
1990 42358
2000 37802
2010 47826
2020 50032
2030 46542
2040 43142
2050 51392
2060 41366
2070 43181
2080 41103
2090 46248
2100 48082
2110 54875
2120 39706
2130 58816
2140 48834
2150 49398
2160 49123
2170 54940
2180 55599
2190 51326
2200 59294
2210 52792
2220 58225
2230 46136
2240 59761
2250 43980
2260 48501
2270 52677
2280 56312
2290 49494
2300 57282
2310 66902
2320 48619
2330 55914
2340 48861
2350 52332
2360 48093
2370 51480
2380 61614
2390 55400
2400 46004
2410 52511
2420 56398
2430 45548
2440 52284
2450 58634
2460 48950
2470 52019
2480 57087
2490 69665
2500 54601
2510 71562
2520 46142
2530 59003
2540 53676
2550 61806
2560 51300
2570 53787
2580 59509
2590 70215
2600 57999
2610 57067
2620 54277
2630 48252
2640 53567
2650 64887
2660 58075
2670 64412
2680 48949
2690 55669
2700 62615
2710 67255
2720 57942
2730 60004
2740 75565
2750 53631
2760 61457
2770 57075
2780 54796
2790 61490
2800 56449
2810 75894
2820 71277
2830 57647
2840 50717
2850 58552
2860 67281
2870 54386
2880 70493
2890 58894
2900 58639
2910 62919
2920 70887
2930 63282
2940 60586
2950 72632
2960 65552
2970 70706
2980 82488
2990 63750
